Age,Gender,Party,Precinct,Total Registered: 2020
18 to 24,Male,Democrat,Byron,1
18 to 24,Male,Democrat,Dodge Center P-1,1
18 to 24,Male,Democrat,Kasson P-2,1
18 to 24,Male,Democrat,Rochester W1 P10,1
18 to 24,Male,Democrat,Rochester W1 P11,2
18 to 24,Male,Democrat,Rochester W1 P13,1
18 to 24,Male,Democrat,Rochester W1 P8,1
18 to 24,Male,Democrat,Rochester W2 P10,1
18 to 24,Male,Democrat,Rochester W2 P6,1
18 to 24,Male,Democrat,Rochester W4 P11,1
18 to 24,Male,Democrat,Byron,2
18 to 24,Male,Democrat,Hayfield,1
18 to 24,Male,Democrat,Kalmar Twp.,1
18 to 24,Male,Democrat,Kasson P-1,1
18 to 24,Male,Democrat,Kasson P-2,2
18 to 24,Male,Democrat,Mantorville,2
18 to 24,Male,Democrat,Ripley Twp.,1
18 to 24,Male,Democrat,Rochester Twp P-1,2
18 to 24,Male,Democrat,Rochester Twp P-2,1
18 to 24,Male,Democrat,Rochester W1 P1,1
18 to 24,Male,Democrat,Rochester W1 P10,2
18 to 24,Male,Democrat,Rochester W1 P11,1
18 to 24,Male,Democrat,Rochester W1 P12,2
18 to 24,Male,Democrat,Rochester W1 P13,3
18 to 24,Male,Democrat,Rochester W1 P2,5
18 to 24,Male,Democrat,Rochester W1 P4,1
18 to 24,Male,Democrat,Rochester W1 P5,1
18 to 24,Male,Democrat,Rochester W1 P7,2
18 to 24,Male,Democrat,Rochester W1 P8,3
18 to 24,Male,Democrat,Rochester W2 P1,2
18 to 24,Male,Democrat,Rochester W2 P10,4
18 to 24,Male,Democrat,Rochester W2 P11,5
18 to 24,Male,Democrat,Rochester W2 P2,3
18 to 24,Male,Democrat,Rochester W2 P3,1
18 to 24,Male,Democrat,Rochester W2 P4,2
18 to 24,Male,Democrat,Rochester W2 P9,3
18 to 24,Male,Democrat,Rochester W4 P10,1
18 to 24,Male,Democrat,Rochester W4 P11,1
18 to 24,Male,Democrat,Rochester W4 P12,2
18 to 24,Male,Democrat,Rochester W4 P13,1
18 to 24,Male,Democrat,Rochester W4 P8,2
18 to 24,Male,Democrat,Rochester W5 P14,1
18 to 24,Male,Democrat,Stewartville,3
18 to 24,Male,Democrat,Vernon Twp.,1
18 to 24,Male,Democrat,Wasioja Twp.,2
18 to 24,Male,Democrat,Byron,1
18 to 24,Male,Democrat,Dodge Center P-1,3
18 to 24,Male,Democrat,Kasson P-3,2
18 to 24,Male,Democrat,Rochester W1 P1,1
18 to 24,Male,Democrat,Rochester W1 P10,2
18 to 24,Male,Democrat,Rochester W1 P11,1
18 to 24,Male,Democrat,Rochester W1 P13,1
18 to 24,Male,Democrat,Rochester W1 P4,1
18 to 24,Male,Democrat,Rochester W1 P6,1
18 to 24,Male,Democrat,Rochester W1 P7,1
18 to 24,Male,Democrat,Rochester W1 P8,2
18 to 24,Male,Democrat,Rochester W2 P1,1
18 to 24,Male,Democrat,Rochester W2 P3,2
18 to 24,Male,Democrat,Rochester W2 P4,2
18 to 24,Male,Democrat,Rochester W2 P5,3
18 to 24,Male,Democrat,Rochester W4 P10,1
18 to 24,Male,Democrat,Rochester W4 P11,1
18 to 24,Male,Democrat,Rochester W4 P12,1
18 to 24,Male,Democrat,Salem Twp.,1
18 to 24,Male,Democrat,Stewartville,3
18 to 24,Male,Democrat,West Concord,2
18 to 24,Male,Independent / Undecided / Swing,Kasson P-2,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P1,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P10,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W4 P12,1
18 to 24,Male,Independent / Undecided / Swing,Salem Twp.,1
18 to 24,Male,Independent / Undecided / Swing,Stewartville,1
18 to 24,Male,Independent / Undecided / Swing,Byron,5
18 to 24,Male,Independent / Undecided / Swing,Dodge Center P-1,3
18 to 24,Male,Independent / Undecided / Swing,Dodge Center P-2,1
18 to 24,Male,Independent / Undecided / Swing,Hayfield,1
18 to 24,Male,Independent / Undecided / Swing,High Forest Twp.,1
18 to 24,Male,Independent / Undecided / Swing,Kalmar Twp.,1
18 to 24,Male,Independent / Undecided / Swing,Kasson P-1,1
18 to 24,Male,Independent / Undecided / Swing,Kasson P-2,4
18 to 24,Male,Independent / Undecided / Swing,Mantorville,2
18 to 24,Male,Independent / Undecided / Swing,Mantorville Twp.,1
18 to 24,Male,Independent / Undecided / Swing,Rochester Twp P-1,3
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P1,3
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P10,4
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P11,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P12,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P5,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P6,2
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P7,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W1 P8,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W2 P1,3
18 to 24,Male,Independent / Undecided / Swing,Rochester W2 P10,2
18 to 24,Male,Independent / Undecided / Swing,Rochester W2 P11,2
18 to 24,Male,Independent / Undecided / Swing,Rochester W2 P2,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W2 P3,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W2 P4,2
18 to 24,Male,Independent / Undecided / Swing,Rochester W2 P5,2
18 to 24,Male,Independent / Undecided / Swing,Rochester W4 P10,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W4 P12,1
18 to 24,Male,Independent / Undecided / Swing,Rochester W4 P9,1
18 to 24,Male,Independent / Undecided / Swing,Stewartville,7
18 to 24,Male,Independent / Undecided / Swing,Vernon Twp.,1
18 to 24,Male,Independent / Undecided / Swing,Wasioja Twp.,1
18 to 24,Male,Independent / Undecided / Swing,West Concord,1
