Age,Gender,Race,Precinct,Total Voters: 2020
18 to 24,Male,Asian,Rochester W1 P13,1
18 to 24,Male,Asian,Rochester W1 P2,3
18 to 24,Male,Asian,Rochester W1 P7,1
18 to 24,Male,Asian,Rochester W2 P1,1
18 to 24,Male,Asian,Rochester W2 P5,1
18 to 24,Male,Asian,Rochester W5 P14,1
18 to 24,Male,Asian,Byron,1
18 to 24,Male,Asian,Kasson P-3,1
18 to 24,Male,Asian,Rochester Twp P-1,2
18 to 24,Male,Asian,Rochester W1 P13,1
18 to 24,Male,Asian,Rochester W1 P7,2
18 to 24,Male,Asian,Rochester W1 P8,1
18 to 24,Male,Asian,Rochester W2 P1,1
18 to 24,Male,Asian,Rochester W2 P11,1
18 to 24,Male,Asian,Stewartville,1
18 to 24,Male,Asian,Rochester W1 P10,1
18 to 24,Male,Black,Rochester W4 P8,1
18 to 24,Male,Black,Rochester W4 P9,1
18 to 24,Male,Black,Rochester W1 P6,1
18 to 24,Male,Black,Rochester W1 P7,1
18 to 24,Male,Black,Rochester W2 P10,1
18 to 24,Male,Black,Rochester W2 P2,3
18 to 24,Male,Black,Rochester W2 P4,2
18 to 24,Male,Black,Rochester W4 P10,1
18 to 24,Male,Black,Rochester W4 P11,1
18 to 24,Male,Black,Rochester W4 P12,1
18 to 24,Male,Black,Rochester W4 P8,2
18 to 24,Male,Black,Rochester W4 P9,2
18 to 24,Male,Black,Rochester W5 P14,1
18 to 24,Male,Black,Stewartville,1
18 to 24,Male,Black,Rochester W1 P7,1
18 to 24,Male,Black,Rochester W2 P1,1
18 to 24,Male,Black,Rochester W4 P11,1
18 to 24,Male,Hispanic,Byron,1
18 to 24,Male,Hispanic,Claremont,1
18 to 24,Male,Hispanic,Claremont Twp.,1
18 to 24,Male,Hispanic,Dodge Center P-1,4
18 to 24,Male,Hispanic,Hayfield,1
18 to 24,Male,Hispanic,Kasson P-2,3
18 to 24,Male,Hispanic,Kasson P-3,2
18 to 24,Male,Hispanic,Mantorville,2
18 to 24,Male,Hispanic,Rochester W1 P1,1
18 to 24,Male,Hispanic,Rochester W1 P11,1
18 to 24,Male,Hispanic,Rochester W1 P12,5
18 to 24,Male,Hispanic,Rochester W1 P4,1
18 to 24,Male,Hispanic,Rochester W1 P5,1
18 to 24,Male,Hispanic,Rochester W1 P8,1
18 to 24,Male,Hispanic,Rochester W2 P1,2
18 to 24,Male,Hispanic,Rochester W2 P10,1
18 to 24,Male,Hispanic,Rochester W2 P2,1
18 to 24,Male,Hispanic,Rochester W2 P4,1
18 to 24,Male,Hispanic,Rochester W2 P6,1
18 to 24,Male,Hispanic,Rochester W4 P11,1
18 to 24,Male,Hispanic,Rochester W4 P12,3
18 to 24,Male,Hispanic,Rochester W4 P13,1
18 to 24,Male,Hispanic,Rochester W4 P8,5
18 to 24,Male,Hispanic,Rochester W4 P9,2
18 to 24,Male,Hispanic,Stewartville,2
18 to 24,Male,Hispanic,West Concord,1
18 to 24,Male,Hispanic,Rochester W1 P11,1
18 to 24,Male,Hispanic,Rochester W2 P1,1
18 to 24,Male,Hispanic,Rochester W4 P10,1
18 to 24,Male,Hispanic,Rochester W4 P11,1
18 to 24,Male,White,Ashland Twp.,1
18 to 24,Male,White,Byron,25
18 to 24,Male,White,Canisteo Twp.,4
18 to 24,Male,White,Cascade Twp. P-3,1
18 to 24,Male,White,Claremont,2
18 to 24,Male,White,Claremont Twp.,1
18 to 24,Male,White,Concord Twp.,2
18 to 24,Male,White,Dodge Center P-1,19
18 to 24,Male,White,Dodge Center P-2,2
18 to 24,Male,White,Hayfield,8
18 to 24,Male,White,Hayfield Twp.,5
18 to 24,Male,White,High Forest Twp.,7
18 to 24,Male,White,Kalmar Twp.,5
18 to 24,Male,White,Kasson P-1,4
