Age,Gender,Race,Precinct,Total Registered: 2022
18 to 24,Male,Asian,Rochester W1 P13,1
18 to 24,Male,Asian,Rochester W1 P2,4
18 to 24,Male,Asian,Rochester W1 P7,1
18 to 24,Male,Asian,Rochester W1 P8,1
18 to 24,Male,Asian,Rochester W2 P1,1
18 to 24,Male,Asian,Rochester W2 P10,1
18 to 24,Male,Asian,Rochester W2 P3,1
18 to 24,Male,Asian,Rochester W2 P5,1
18 to 24,Male,Asian,Rochester W5 P14,1
18 to 24,Male,Asian,Byron,3
18 to 24,Male,Asian,Kasson P-2,1
18 to 24,Male,Asian,Kasson P-3,1
18 to 24,Male,Asian,Rochester Twp P-1,4
18 to 24,Male,Asian,Rochester W1 P11,1
18 to 24,Male,Asian,Rochester W1 P12,2
18 to 24,Male,Asian,Rochester W1 P13,1
18 to 24,Male,Asian,Rochester W1 P5,3
18 to 24,Male,Asian,Rochester W1 P7,3
18 to 24,Male,Asian,Rochester W1 P8,1
18 to 24,Male,Asian,Rochester W2 P1,2
18 to 24,Male,Asian,Rochester W2 P11,1
18 to 24,Male,Asian,Rochester W2 P3,1
18 to 24,Male,Asian,Rochester W2 P4,1
18 to 24,Male,Asian,Rochester W2 P6,2
18 to 24,Male,Asian,Rochester W2 P9,1
18 to 24,Male,Asian,Rochester W4 P10,2
18 to 24,Male,Asian,Rochester W4 P12,1
18 to 24,Male,Asian,Rochester W4 P8,1
18 to 24,Male,Asian,Stewartville,1
18 to 24,Male,Asian,Rochester W1 P10,2
18 to 24,Male,Asian,Rochester W2 P6,1
18 to 24,Male,Black,Rochester W4 P8,1
18 to 24,Male,Black,Rochester W4 P9,1
18 to 24,Male,Black,Rochester W1 P12,1
18 to 24,Male,Black,Rochester W1 P6,1
18 to 24,Male,Black,Rochester W1 P7,2
18 to 24,Male,Black,Rochester W1 P9,1
18 to 24,Male,Black,Rochester W2 P1,2
18 to 24,Male,Black,Rochester W2 P10,1
18 to 24,Male,Black,Rochester W2 P2,4
18 to 24,Male,Black,Rochester W2 P4,2
18 to 24,Male,Black,Rochester W4 P10,3
18 to 24,Male,Black,Rochester W4 P11,1
18 to 24,Male,Black,Rochester W4 P12,1
18 to 24,Male,Black,Rochester W4 P8,4
18 to 24,Male,Black,Rochester W4 P9,5
18 to 24,Male,Black,Rochester W5 P14,2
18 to 24,Male,Black,Stewartville,1
18 to 24,Male,Black,Rochester W1 P5,1
18 to 24,Male,Black,Rochester W1 P7,1
18 to 24,Male,Black,Rochester W2 P1,1
18 to 24,Male,Black,Rochester W4 P11,1
18 to 24,Male,Hispanic,Byron,4
18 to 24,Male,Hispanic,Claremont,2
18 to 24,Male,Hispanic,Claremont Twp.,1
18 to 24,Male,Hispanic,Dodge Center P-1,7
18 to 24,Male,Hispanic,Dodge Center P-2,1
18 to 24,Male,Hispanic,Hayfield,1
18 to 24,Male,Hispanic,Kasson P-2,3
18 to 24,Male,Hispanic,Kasson P-3,4
18 to 24,Male,Hispanic,Mantorville,3
18 to 24,Male,Hispanic,Rochester W1 P1,1
18 to 24,Male,Hispanic,Rochester W1 P10,1
18 to 24,Male,Hispanic,Rochester W1 P11,1
18 to 24,Male,Hispanic,Rochester W1 P12,6
18 to 24,Male,Hispanic,Rochester W1 P4,1
18 to 24,Male,Hispanic,Rochester W1 P5,1
18 to 24,Male,Hispanic,Rochester W1 P7,1
18 to 24,Male,Hispanic,Rochester W1 P8,1
18 to 24,Male,Hispanic,Rochester W2 P1,3
18 to 24,Male,Hispanic,Rochester W2 P10,2
18 to 24,Male,Hispanic,Rochester W2 P2,1
18 to 24,Male,Hispanic,Rochester W2 P4,1
18 to 24,Male,Hispanic,Rochester W2 P6,2
18 to 24,Male,Hispanic,Rochester W4 P10,2
18 to 24,Male,Hispanic,Rochester W4 P11,1
18 to 24,Male,Hispanic,Rochester W4 P12,13
18 to 24,Male,Hispanic,Rochester W4 P13,1
18 to 24,Male,Hispanic,Rochester W4 P8,7
18 to 24,Male,Hispanic,Rochester W4 P9,4
18 to 24,Male,Hispanic,Rock Dell Twp.,1
18 to 24,Male,Hispanic,Stewartville,6
18 to 24,Male,Hispanic,West Concord,2
18 to 24,Male,Hispanic,Rochester W1 P11,1
18 to 24,Male,Hispanic,Rochester W1 P12,1
18 to 24,Male,Hispanic,Rochester W1 P7,1
18 to 24,Male,Hispanic,Rochester W2 P1,1
18 to 24,Male,Hispanic,Rochester W4 P10,1
18 to 24,Male,Hispanic,Rochester W4 P11,1
18 to 24,Male,Hispanic,Rochester W4 P12,3
18 to 24,Male,White,Ashland Twp.,1
18 to 24,Male,White,Byron,35
18 to 24,Male,White,Canisteo Twp.,6
18 to 24,Male,White,Cascade Twp. P-3,1
18 to 24,Male,White,Claremont,4
18 to 24,Male,White,Claremont Twp.,2
18 to 24,Male,White,Concord Twp.,4
18 to 24,Male,White,Dodge Center P-1,22
18 to 24,Male,White,Dodge Center P-2,3
18 to 24,Male,White,Ellington Twp.,1
18 to 24,Male,White,Hayfield,10
18 to 24,Male,White,Hayfield Twp.,6
18 to 24,Male,White,High Forest Twp.,7
18 to 24,Male,White,Kalmar Twp.,9
18 to 24,Male,White,Kasson P-1,7
18 to 24,Male,White,Kasson P-2,32
18 to 24,Male,White,Kasson P-3,3
18 to 24,Male,White,Mantorville,15
18 to 24,Male,White,Mantorville Twp.,20
18 to 24,Male,White,Milton Twp.,7
18 to 24,Male,White,Ripley Twp.,2
18 to 24,Male,White,Rochester Twp P-1,11
18 to 24,Male,White,Rochester Twp P-2,1
18 to 24,Male,White,Rochester Twp P-3,1
18 to 24,Male,White,Rochester W1 P1,14
18 to 24,Male,White,Rochester W1 P10,14
18 to 24,Male,White,Rochester W1 P11,12
18 to 24,Male,White,Rochester W1 P12,13
18 to 24,Male,White,Rochester W1 P13,19
18 to 24,Male,White,Rochester W1 P14,5
18 to 24,Male,White,Rochester W1 P2,17
18 to 24,Male,White,Rochester W1 P4,9
18 to 24,Male,White,Rochester W1 P5,3
18 to 24,Male,White,Rochester W1 P6,9
18 to 24,Male,White,Rochester W1 P7,9
18 to 24,Male,White,Rochester W1 P8,13
18 to 24,Male,White,Rochester W1 P9,2
18 to 24,Male,White,Rochester W2 P1,4
18 to 24,Male,White,Rochester W2 P10,16
18 to 24,Male,White,Rochester W2 P11,9
18 to 24,Male,White,Rochester W2 P2,2
18 to 24,Male,White,Rochester W2 P3,13
18 to 24,Male,White,Rochester W2 P4,7
18 to 24,Male,White,Rochester W2 P5,7
18 to 24,Male,White,Rochester W2 P6,1
18 to 24,Male,White,Rochester W2 P9,4
18 to 24,Male,White,Rochester W4 P10,4
18 to 24,Male,White,Rochester W4 P11,10
18 to 24,Male,White,Rochester W4 P12,6
18 to 24,Male,White,Rochester W4 P13,3
18 to 24,Male,White,Rochester W4 P8,6
18 to 24,Male,White,Rochester W4 P9,3
18 to 24,Male,White,Rochester W5 P14,2
18 to 24,Male,White,Rock Dell Twp.,1
18 to 24,Male,White,Salem Twp.,10
18 to 24,Male,White,Stewartville,44
18 to 24,Male,White,Vernon Twp.,4
18 to 24,Male,White,Wasioja Twp.,3
18 to 24,Male,White,West Concord,3
18 to 24,Male,White,Westfield Twp.,4
18 to 24,Male,White,Ashland Twp.,2
18 to 24,Male,White,Byron,84
18 to 24,Male,White,Canisteo Twp.,7
18 to 24,Male,White,Claremont,3
18 to 24,Male,White,Claremont Twp.,5
18 to 24,Male,White,Concord Twp.,3
18 to 24,Male,White,Dodge Center P-1,19
18 to 24,Male,White,Dodge Center P-2,8
18 to 24,Male,White,Ellington Twp.,4
18 to 24,Male,White,Hayfield,14
18 to 24,Male,White,Hayfield Twp.,3
18 to 24,Male,White,High Forest Twp.,13
18 to 24,Male,White,Kalmar Twp.,21
18 to 24,Male,White,Kasson P-1,16
18 to 24,Male,White,Kasson P-2,60
18 to 24,Male,White,Kasson P-3,12
18 to 24,Male,White,Mantorville,15
18 to 24,Male,White,Mantorville Twp.,19
18 to 24,Male,White,Milton Twp.,9
18 to 24,Male,White,Ripley Twp.,2
18 to 24,Male,White,Rochester Twp P-1,25
18 to 24,Male,White,Rochester Twp P-2,1
18 to 24,Male,White,Rochester Twp P-3,1
18 to 24,Male,White,Rochester W1 P1,13
18 to 24,Male,White,Rochester W1 P10,20
18 to 24,Male,White,Rochester W1 P11,15
18 to 24,Male,White,Rochester W1 P12,21
18 to 24,Male,White,Rochester W1 P13,30
18 to 24,Male,White,Rochester W1 P14,8
18 to 24,Male,White,Rochester W1 P2,9
18 to 24,Male,White,Rochester W1 P4,14
18 to 24,Male,White,Rochester W1 P5,4
18 to 24,Male,White,Rochester W1 P6,22
18 to 24,Male,White,Rochester W1 P7,19
18 to 24,Male,White,Rochester W1 P8,18
18 to 24,Male,White,Rochester W1 P9,9
18 to 24,Male,White,Rochester W2 P1,13
18 to 24,Male,White,Rochester W2 P10,28
18 to 24,Male,White,Rochester W2 P11,25
18 to 24,Male,White,Rochester W2 P2,4
18 to 24,Male,White,Rochester W2 P3,9
18 to 24,Male,White,Rochester W2 P4,11
18 to 24,Male,White,Rochester W2 P5,8
18 to 24,Male,White,Rochester W2 P6,7
18 to 24,Male,White,Rochester W2 P9,7
18 to 24,Male,White,Rochester W4 P10,10
18 to 24,Male,White,Rochester W4 P11,11
18 to 24,Male,White,Rochester W4 P12,10
18 to 24,Male,White,Rochester W4 P13,4
18 to 24,Male,White,Rochester W4 P8,10
18 to 24,Male,White,Rochester W4 P9,3
18 to 24,Male,White,Rochester W5 P14,10
18 to 24,Male,White,Rock Dell Twp.,6
18 to 24,Male,White,Salem Twp.,20
18 to 24,Male,White,Stewartville,74
18 to 24,Male,White,Vernon Twp.,12
18 to 24,Male,White,Wasioja Twp.,18
18 to 24,Male,White,West Concord,14
