Age,Likely Ethnicity,Precinct,Borrud - SD24: Responses,Total People
18 to 24,Asian,Rochester W1 P9,Strong Aleta,1
18 to 24,Asian,Rochester W2 P1,Strong Aleta,1
18 to 24,Asian,Rochester W2 P6,Strong Aleta,1
18 to 24,Black,Rochester W1 P11,Undecided,1
18 to 24,Black,Rochester W1 P4,Strong Aleta,1
18 to 24,Black,Rochester W1 P4,Strong Aleta,1
18 to 24,Black,Rochester W2 P1,Strong Aleta,1
18 to 24,Black,Rochester W2 P4,Undecided,1
18 to 24,Black,Rochester W1 P7,Strong Aleta,1
18 to 24,Black,Rochester W4 P11,Strong Aleta,1
18 to 24,Hispanic,Rochester W1 P12,Strong Aleta,1
18 to 24,Hispanic,Rochester W1 P12,Lean Aleta,1
18 to 24,Hispanic,Rochester W1 P8,Undecided,1
18 to 24,Hispanic,Rochester W2 P10,Strong Aleta,1
18 to 24,Hispanic,Rochester W2 P6,Strong Nelson,1
18 to 24,Hispanic,Rochester W4 P13,Lean Aleta,1
18 to 24,Hispanic,Rochester W4 P8,Lean Aleta,1
18 to 24,White,Byron,Lean Aleta,1
18 to 24,White,Byron,Lean Aleta,1
18 to 24,White,Byron,Lean Aleta,1
18 to 24,White,Kasson P-2,Lean Aleta,1
18 to 24,White,Rochester W1 P1,Lean Aleta,1
18 to 24,White,Rochester W1 P10,Lean Aleta,1
18 to 24,White,Rochester W1 P6,Lean Aleta,1
18 to 24,White,Rochester W1 P8,Strong Aleta,1
18 to 24,White,Rochester W4 P12,Lean Aleta,1
18 to 24,White,Stewartville,Lean Aleta,1
18 to 24,White,Byron,Lean Aleta,1
18 to 24,White,Byron,Lean Aleta,1
18 to 24,White,Byron,Lean Aleta,1
18 to 24,White,Byron,Undecided,1
18 to 24,White,Hayfield,Lean Aleta,1
18 to 24,White,Hayfield,Undecided,1
18 to 24,White,Kasson P-2,Undecided,1
18 to 24,White,Kasson P-2,Lean Nelson,1
18 to 24,White,Rochester W1 P1,Undecided,1
18 to 24,White,Rochester W1 P13,Strong Aleta,1
18 to 24,White,Rochester W1 P4,Strong Aleta,1
18 to 24,White,Rochester W1 P4,Strong Aleta,1
18 to 24,White,Rochester W1 P8,Undecided,1
18 to 24,White,Rochester W1 P8,Undecided,1
18 to 24,White,Rochester W2 P10,Lean Aleta,1
18 to 24,White,Rochester W2 P3,Strong Aleta,1
18 to 24,White,Rochester W2 P3,Lean Aleta,1
18 to 24,White,Rochester W2 P3,Undecided,1
18 to 24,White,Rochester W2 P4,Undecided,1
18 to 24,White,Rochester W2 P6,Strong Aleta,1
18 to 24,White,Rochester W2 P9,Lean Aleta,1
18 to 24,White,Stewartville,Undecided,1
18 to 24,White,Stewartville,Undecided,1
18 to 24,White,Byron,Undecided,1
18 to 24,White,Kasson P-2,Lean Aleta,1
18 to 24,White,Rochester W1 P2,Lean Aleta,1
18 to 24,White,Rochester W1 P8,Strong Aleta,1
18 to 24,White,Rochester W2 P1,Lean Nelson,1
18 to 24,Unknown,Byron,Strong Aleta,1
25 to 34,Asian,Rochester W1 P8,Strong Aleta,1
25 to 34,Asian,Byron,Lean Aleta,1
25 to 34,Asian,Rochester W1 P10,Undecided,1
25 to 34,Asian,Rochester W1 P11,Undecided,1
25 to 34,Asian,Rochester W2 P4,Undecided,1
25 to 34,Asian,Rochester W4 P10,Strong Aleta,1
25 to 34,Black,Rochester W2 P10,Strong Aleta,1
25 to 34,Black,Rochester W4 P11,Strong Aleta,1
25 to 34,Black,Byron,Lean Aleta,1
25 to 34,Black,Rochester W1 P10,Strong Aleta,1
25 to 34,Black,Rochester W1 P10,Lean Aleta,1
25 to 34,Black,Rochester W1 P10,Undecided,1
25 to 34,Black,Rochester W1 P12,Lean Aleta,1
25 to 34,Black,Rochester W2 P10,Strong Aleta,1
25 to 34,Black,Rochester W2 P6,Strong Aleta,1
25 to 34,Black,Byron,Lean Aleta,1
25 to 34,Hispanic,Byron,Lean Aleta,1
25 to 34,Hispanic,Hayfield,Strong Aleta,1
25 to 34,Hispanic,Rochester W1 P8,Undecided,1
25 to 34,Hispanic,Rochester W4 P11,Lean Aleta,1
25 to 34,Hispanic,Rochester W4 P13,Strong Aleta,1
25 to 34,Hispanic,Stewartville,Lean Aleta,1
25 to 34,White,Byron,Strong Aleta,1
25 to 34,White,Byron,Lean Aleta,1
25 to 34,White,Byron,Lean Aleta,1
25 to 34,White,Byron,Lean Aleta,1
25 to 34,White,Byron,Lean Aleta,1
25 to 34,White,Byron,Undecided,1
25 to 34,White,Byron,Undecided,1
25 to 34,White,Byron,Undecided,1
25 to 34,White,Byron,Undecided,1
25 to 34,White,Byron,Undecided,1
25 to 34,White,Byron,Undecided,1
25 to 34,White,Byron,Undecided,1
25 to 34,White,Byron,Undecided,1
25 to 34,White,Byron,Lean Nelson,1
25 to 34,White,Byron,Strong Nelson,1
25 to 34,White,Hayfield,Strong Aleta,1
25 to 34,White,Hayfield,Lean Aleta,1
25 to 34,White,Hayfield,Lean Aleta,1
25 to 34,White,Hayfield,Strong Nelson,1
25 to 34,White,Hayfield,Strong Nelson,1
25 to 34,White,Kasson P-2,Strong Aleta,1
25 to 34,White,Kasson P-2,Strong Aleta,1
25 to 34,White,Kasson P-2,Strong Aleta,1
25 to 34,White,Kasson P-2,Strong Aleta,1
25 to 34,White,Kasson P-2,Strong Aleta,1
21 to 34,White,Kasson P-2,Lean Aleta,1
22 to 34,White,Kasson P-1,Lean Aleta,1
23 to 34,White,Kasson P-0,Lean Aleta,1
24 to 34,White,Kasson P-1,Lean Aleta,1
25 to 34,White,Kasson P-2,Lean Aleta,1
20 to 34,White,Kasson P-3,Undecided,1
21 to 34,White,Kasson P-2,Undecided,1
22 to 34,White,Kasson P-1,Undecided,1
23 to 34,White,Kasson P-0,Undecided,1
24 to 34,White,Kasson P-1,Undecided,1
25 to 34,White,Kasson P-2,Undecided,1
25 to 34,White,Kasson P-2,Lean Nelson,1
25 to 34,White,Rochester W1 P1,Strong Aleta,1
25 to 34,White,Rochester W1 P1,Lean Aleta,1
23 to 34,White,Rochester W1 P8,Strong Aleta,1
24 to 34,White,Rochester W1 P9,Strong Aleta,1
25 to 34,White,Rochester W1 P10,Strong Aleta,1
22 to 34,White,Rochester W1 P7,Lean Aleta,1
23 to 34,White,Rochester W1 P8,Lean Aleta,1
